Time_date,Time,Exp_data.T_ms_in,Exp_data.mdot_ms_in,Exp_data.T_ms_out,Exp_data.T_oil_in,Exp_data.T_oil_out,Exp_data.mdot_oil_in,Pane1-Temperatura en tanque de HTF - PV,Exp_data.p_oil_in,Pane1-Presion Entr y S tanq exp - PV,Exp_data.p_ms_in,Exp_data.mdot_ms_in_calc,Exp_data.mdot_ms_in_calc,Exp_data.mdot_oil_in_calc,ms,dp_ms,dp_oil,Exp_data.Tamb,Exp_data.TTC1,Exp_data.TTC2,Exp_data.TTC3,Exp_data.TTC4,Exp_data.TTC5,Exp_data.TTC6,Exp_data.TTC7,Exp_data.TTC8,Exp_data.TTH1,Exp_data.TTH2,Exp_data.TTH3,Exp_data.TTH4,Exp_data.TTH5,Exp_data.TTH6,Exp_data.TTH7,Exp_data.Lv_cold_tank,Exp_data.Lv_hot_tank
3625547400,30600,310.035014,0.0052,340.959981,55.140003,91.140002,0.0082,128.100006,8.714506,4.45784,0.02404,0,0,0,0,0,0,10.11,300.270009,317.415019,316.815013,316.950012,315.060018,314.38502,317.505015,310.035014,355.899984,273.23999,274.539998,276.279989,275.200002,274.619995,271.619995,1682.624756,34.102001
3625547405,30605,309.970018,0.00552,340.99998,55.115003,91.135001,0.01,128.070007,8.692387,4.4576,0.0238,0,0,0,0,0,0,10.11,300.245009,317.410024,316.910014,316.950009,315.090027,314.380022,317.46501,309.970018,355.946648,273.313321,274.57333,276.226657,275.160004,274.606662,271.619995,1682.712158,34.035135
3625547410,30610,309.945015,0.00592,340.974987,55.121253,91.128752,0.00984,128.079382,8.768904,4.45744,0.02372,0,0,0,0,0,0,10.11,300.260634,317.394396,316.944384,316.931255,315.080649,314.36439,317.452515,309.945015,356.017485,273.329987,274.589996,276.172493,275.160004,274.589996,271.657494,1682.876038,33.826177
3625547415,30615,309.915019,0.007,340.979991,55.140003,91.110001,0.00944,128.070007,8.830247,4.45752,0.02392,0,0,0,0,0,0,10.11,300.165009,317.400014,316.950002,316.950002,315.075022,314.355011,317.430013,309.915019,356.079997,273.339986,274.599996,276.139994,275.160004,274.599996,271.699992,1682.624756,33.901402
3625547420,30620,309.920017,0.00728,340.986654,55.115003,91.095001,0.00968,128.055008,8.789609,4.458,0.0244,0,0,0,0,0,0,10.11,300.175012,317.375014,316.914998,316.955004,315.050022,314.385013,317.415012,309.920017,356.140004,273.373318,274.619995,276.193326,275.160004,274.619995,271.693326,1682.275146,33.834535
3625547425,30625,309.851261,0.00588,341.044987,55.102503,91.057503,0.01008,128.083132,8.745563,4.45864,0.0244,0,0,0,0,0,0,10.11,300.225014,317.381268,316.880628,316.980011,315.000009,314.366268,317.452515,309.851261,356.139998,273.377485,274.607496,276.23499,275.172503,274.607496,271.709992,1682.329773,33.876327
3625547430,30630,309.825012,0.00656,341.059987,55.110003,91.035004,0.01032,128.070007,8.773148,4.45912,0.02416,0,0,0,0,0,0,10.11,300.165019,317.400014,316.87501,316.995015,315,314.38502,317.445017,309.825012,356.059987,273.399984,274.599996,276.279989,275.180003,274.579997,271.699992,1682.449951,33.700802
3625547435,30635,309.785007,0.00528,341.119999,55.135003,91.000005,0.01076,128.090006,8.776749,4.45888,0.02404,0,0,0,0,0,0,10.11,300.170024,317.38501,316.870009,316.985019,315,314.380022,317.470022,309.785007,356.039978,273.453315,274.579997,276.286655,275.160004,274.57333,271.679993,1682.537354,33.834535
3625547440,30640,309.744378,0.00496,341.094991,55.156878,91.021879,0.00988,128.086882,8.730131,4.45896,0.0244,0,0,0,0,0,0,10.11,300.260642,317.366261,316.826252,316.897508,315.009378,314.383139,317.520019,309.744378,356.102488,273.407483,274.554998,276.24499,275.147504,274.577497,271.704992,1682.428101,33.876327
3625547445,30645,309.765004,0.00472,341.079987,55.155003,91.020004,0.01008,128.055008,8.748457,4.45816,0.02448,0,0,0,0,0,0,10.11,300.315013,317.355011,316.815002,316.860006,315.030009,314.370015,317.535014,309.765004,356.220001,273.379985,274.579997,276.219991,275.140005,274.579997,271.759989,1682.275146,33.700802
3625547450,30650,309.760006,0.0048,341.006653,55.115003,90.990005,0.00972,128.050008,8.786523,4.4576,0.0246,0,0,0,0,0,0,10.11,300.270016,317.375014,316.825002,316.890008,315.03501,314.380022,317.555006,309.760006,356.279999,273.373318,274.546665,276.226657,275.160004,274.579997,271.746657,1682.333414,33.834535
3625547455,30655,309.697511,0.00624,341.052493,55.111878,90.96188,0.0098,128.015633,8.793596,4.4572,0.02428,0,0,0,0,0,0,10.04,300.27939,317.362518,316.800003,316.861879,315.031884,314.383146,317.542511,309.697511,356.304998,273.389984,274.529999,276.209992,275.110006,274.542498,271.704992,1682.40625,33.876327
3625547460,30660,309.615011,0.00652,341.119995,55.125004,90.915003,0.01012,128.010007,8.771605,4.4576,0.02404,0,0,0,0,0,0,10.04,300.27002,317.340017,316.815002,316.815013,315.060018,314.38502,317.520009,309.615011,356.339996,273.379985,274.519999,276.219991,275.060008,274.559998,271.719991,1682.362549,33.901402
3625547465,30665,309.575022,0.00496,341.126658,55.105003,90.860003,0.0092,128.025009,8.729424,4.45736,0.02416,0,0,0,0,0,0,10.04,300.320014,317.325016,316.845008,316.880015,315.100023,314.385013,317.495012,309.575022,356.353329,273.373318,274.526666,276.23999,275.100006,274.559998,271.679993,1682.333414,33.901402
3625547470,30670,309.581266,0.00408,341.059984,55.080002,90.81938,0.00972,128.015633,8.757716,4.45848,0.02404,0,0,0,0,0,0,10.04,300.195009,317.362518,316.873137,316.998767,315.093769,314.347519,317.529391,309.581266,356.357496,273.402484,274.547498,276.23999,275.087507,274.559998,271.679993,1682.40625,33.650652
3625547475,30675,309.570007,0.006,341.139994,55.065002,90.825005,0.00904,127.995005,8.766975,4.45784,0.02432,0,0,0,0,0,0,10.04,300.045003,317.370015,316.905009,316.995015,315.075022,314.355021,317.550008,309.570007,356.399994,273.419983,274.539998,276.23999,275.100006,274.559998,271.679993,1682.362549,33.901402
3625547480,30680,309.580007,0.00632,341.186669,55.045003,90.830004,0.00876,127.990005,8.745885,4.4576,0.02428,0,0,0,0,0,0,10.04,300.109999,317.38501,316.880012,316.925001,315.070021,314.340017,317.555006,309.580007,356.466658,273.433316,274.57333,276.23999,275.133338,274.546665,271.706658,1682.449951,33.567069
3625547485,30685,309.526887,0.00624,341.132492,55.038753,90.855003,0.00952,127.965006,8.775463,4.45744,0.02416,0,0,0,0,0,0,10.04,300.200628,317.366267,316.876886,316.921884,315.026264,314.321261,317.542511,309.526887,356.387494,273.424983,274.564997,276.214991,275.112506,274.529999,271.727491,1682.668457,33.274528
3625547490,30690,309.465017,0.0054,341.079987,55.005002,90.840004,0.009,127.935005,8.780864,4.45672,0.02404,0,0,0,0,0,0,10.04,300.225006,317.370026,316.860016,316.950012,314.985016,314.355021,317.535014,309.465017,356.399994,273.379985,274.519999,276.159993,275.120005,274.519999,271.699992,1682.712158,33.099003
3625547495,30695,309.41001,0.00612,341.180003,54.970002,90.790004,0.00872,127.930005,8.718107,4.456,0.02424,0,0,0,0,0,0,10.04,300.20501,317.42002,316.830014,316.970008,314.965013,314.370019,317.510017,309.41001,356.446659,273.373318,274.526666,276.133328,275.113339,274.5,271.653327,1682.857829,33.366469
3625547500,30700,309.435012,0.00592,341.217501,54.963753,90.755629,0.00928,127.867508,8.679205,4.45648,0.02424,0,0,0,0,0,0,10.04,300.236263,317.379396,316.895629,316.938755,314.977508,314.370017,317.488135,309.435012,356.442492,273.414983,274.547498,276.187492,275.105006,274.5,271.657494,1682.821411,33.575427
3625547505,30705,309.435018,0.00464,341.279999,54.990002,90.735003,0.00996,127.860008,8.702161,4.45592,0.02444,0,0,0,0,0,0,10.04,300.285014,317.355021,316.920003,316.905009,314.970011,314.38502,317.475006,309.435018,356.479991,273.439982,274.539998,276.23999,275.100006,274.5,271.699992,1682.624756,33.299603
3625547510,30710,309.320014,0.0048,341.200002,55.000002,90.710002,0.00976,127.875008,8.694445,4.4556,0.02388,0,0,0,0,0,0,10.04,300.260017,317.365017,316.910014,316.900011,314.955017,314.395009,317.46501,309.320014,356.506656,273.433316,274.57333,276.23999,275.133338,274.526666,271.679993,1682.537354,33.500202
3625547515,30715,309.363764,0.004,341.200002,55.003127,90.697502,0.00908,127.903131,8.673226,4.45816,0.0238,0,0,0,0,0,0,10,300.116262,317.349398,316.878765,316.921878,314.964389,314.379388,317.471264,309.363764,356.527489,273.449982,274.589996,276.25249,275.100006,274.559998,271.692492,1682.537354,34.001701
3625547520,30720,309.450022,0.00428,341.160004,55.005002,90.690002,0.00984,127.905006,8.671296,4.45696,0.02432,0,0,0,0,0,0,10,300.075012,317.355021,316.845011,316.980001,314.970011,314.415019,317.505015,309.450022,356.619985,273.459981,274.559998,276.259989,275.100006,274.559998,271.719991,1682.624756,34.102001
3625547525,30725,309.39502,0.00396,341.206668,55.025003,90.685003,0.00972,127.925006,8.677469,4.45512,0.02428,0,0,0,0,0,0,10,300.200019,317.340027,316.905002,317.040005,314.985012,314.440023,317.490017,309.39502,356.659983,273.439982,274.553331,276.226657,275.100006,274.546665,271.753323,1682.974365,34.436334
3625547530,30730,309.316888,0.00476,341.24,55.003128,90.669378,0.0104,127.903131,8.678434,4.45432,0.02416,0,0,0,0,0,0,10,300.225014,317.35877,316.895629,316.965004,315.022507,314.415017,317.424388,309.316888,356.634984,273.402484,274.594996,276.209992,275.150004,274.4925,271.74499,1683.083618,34.352751
3625547535,30735,309.360016,0.00536,341.24,55.005004,90.645004,0.0094,127.875008,8.641975,4.45352,0.02412,0,0,0,0,0,0,10,300.210012,317.370015,316.904999,316.920003,315.030009,314.415008,317.415009,309.360016,356.619985,273.419983,274.539998,276.219991,275.220001,274.480001,271.73999,1682.886963,33.901402
3625547540,30740,309.380015,0.00524,341.193336,55.025003,90.645004,0.00896,127.855008,8.647119,4.45456,0.0246,0,0,0,0,0,0,10,300.195011,317.330024,316.845001,316.935004,315.03501,314.425012,317.455007,309.380015,356.599986,273.459988,274.539998,276.213325,275.180003,274.533332,271.786655,1682.683025,33.834535
3625547545,30745,309.311262,0.0056,341.309998,55.021878,90.588755,0.00912,127.867508,8.693094,4.4544,0.02444,0,0,0,0,0,0,10,300.138761,317.31752,316.83563,316.972511,315.022507,314.418766,317.439386,309.311262,356.699982,273.509995,274.564997,276.217491,275.117505,274.512499,271.75749,1682.373474,34.001701
3625547550,30750,309.285004,0.00512,341.299998,55.035004,90.570005,0.00908,127.860008,8.688272,4.45448,0.02412,0,0,0,0,0,0,10,300.255005,317.340017,316.830007,317.01001,315.030009,314.38502,317.475016,309.285004,356.679982,273.49999,274.539998,276.279989,275.140004,274.5,271.759989,1682.187744,34.102001
3625547555,30755,309.28501,0.00496,341.266666,55.025003,90.565004,0.0096,127.835008,8.672325,4.45376,0.024,0,0,0,0,0,0,10,300.240017,317.365017,316.845001,316.980011,315.03501,314.380022,317.500014,309.28501,356.706655,273.49332,274.559998,276.313321,275.206668,274.453335,271.799988,1682.216878,34.302601
3625547560,30760,309.303768,0.00572,341.324997,55.012503,90.540003,0.01012,127.841257,8.69483,4.45488,0.024,0,0,0,0,0,0,10,300.183765,317.35877,316.83563,316.980011,315.003757,314.383139,317.465635,309.303768,356.789993,273.509995,274.547498,276.317487,275.177503,274.470001,271.799988,1682.253296,34.177226
3625547565,30765,309.315013,0.0052,341.359996,55.020003,90.540003,0.00952,127.860008,8.679012,4.45328,0.02376,0,0,0,0,0,0,10,300.225016,317.38501,316.815013,316.980011,314.985006,314.370015,317.460012,309.315013,356.779989,273.49999,274.519999,276.319987,275.140004,274.480001,271.779989,1682.449951,34.102001
3625547570,30770,309.275007,0.005,341.313331,55.005003,90.540001,0.00888,127.815007,8.691358,4.45208,0.02372,0,0,0,0,0,0,10,300.230014,317.375014,316.820011,316.960012,314.990004,314.370019,317.455014,309.275007,356.826657,273.453315,274.513333,276.33332,275.16667,274.486667,271.753323,1682.479086,34.302601
3625547575,30775,309.262512,0.00544,341.379995,54.958127,90.511877,0.00916,127.777504,8.715471,4.45344,0.0242,0,0,0,0,0,0,9.96,300.32063,317.343769,316.854379,316.925635,314.968137,314.38876,317.420645,309.262512,356.872499,273.432482,274.529999,276.274989,275.212502,274.470001,271.75749,1682.40625,34.427976
3625547580,30780,309.255015,0.00552,341.359996,54.915002,90.465004,0.00916,127.785004,8.733025,4.45472,0.02436,0,0,0,0,0,0,9.96,300.225006,317.310018,316.87501,316.935008,314.955017,314.38501,317.430013,309.255015,356.839996,273.439982,274.539998,276.23999,275.160004,274.460002,271.699992,1682.362549,34.7038
3625547585,30785,309.230018,0.0056,341.379995,54.855003,90.440005,0.00904,127.800005,8.715021,4.45456,0.02444,0,0,0,0,0,0,9.96,300.170003,317.28501,316.870015,316.950009,314.955017,314.305013,317.495012,309.230018,356.90667,273.433316,274.533332,276.23999,275.146671,274.440002,271.619995,1682.333414,34.770667
3625547590,30790,309.217514,0.00524,341.317497,54.855003,90.418131,0.00956,127.790631,8.681906,4.45424,0.02452,0,0,0,0,0,0,9.96,300.316882,317.30064,316.863766,316.893757,314.945639,314.289385,317.510642,309.217514,356.902498,273.449982,274.512499,276.227491,275.130005,274.440002,271.619995,1682.460877,34.478126
3625547595,30795,309.210012,0.00568,341.359995,54.855003,90.390004,0.00932,127.785004,8.666667,4.45392,0.0246,0,0,0,0,0,0,9.96,300.360006,317.340027,316.890015,316.87501,314.940013,314.310008,317.475016,309.210012,356.839986,273.459981,274.519999,276.219991,275.160004,274.440002,271.639994,1682.537354,34.302601
3625547600,30800,309.225009,0.00588,341.353329,54.845003,90.370002,0.00796,127.790004,8.6893,4.45264,0.02424,0,0,0,0,0,0,9.96,300.25001,317.320021,316.890008,316.910007,314.935011,314.335015,317.42002,309.225009,356.833316,273.466648,274.539998,276.213325,275.193336,274.42667,271.66666,1682.479086,34.436334
3625547605,30805,309.253134,0.00528,341.369995,54.832502,90.373127,0.00796,127.758755,8.667438,4.45376,0.02436,0,0,0,0,0,0,9.96,300.09376,317.313769,316.899377,316.934998,314.928753,314.347519,317.435644,309.253134,356.912495,273.424983,274.564997,276.179993,275.160004,274.422503,271.662493,1682.40625,34.854251
3625547610,30810,309.225006,0.00492,341.379995,54.825002,90.360001,0.00964,127.725006,8.674383,4.45464,0.024,0,0,0,0,0,0,9.96,300.165019,317.340027,316.890004,316.950002,314.940002,314.355021,317.475016,309.225006,357,273.419983,274.539998,276.179993,275.200002,274.440002,271.699992,1682.449951,35.305602
3625547615,30815,309.215007,0.00656,341.386661,54.840002,90.330002,0.00952,127.720006,8.699074,4.45496,0.02432,0,0,0,0,0,0,9.96,300.170017,317.340027,316.865,316.970015,314.93001,314.390018,317.475006,309.215007,357.013333,273.453315,274.546665,276.193326,275.279999,274.42667,271.726657,1682.420817,35.238735
3625547620,30820,309.230634,0.00676,341.332497,54.868128,90.273753,0.00904,127.732506,8.679784,4.45368,0.02432,0,0,0,0,0,0,9.96,300.195007,317.340027,316.899377,316.976269,314.945639,314.396266,317.484384,309.230634,357.029999,273.432482,274.542498,276.197492,275.279999,274.422503,271.709992,1682.384399,34.65365
3625547625,30825,309.210012,0.00548,341.359996,54.840003,90.240003,0.00908,127.740006,8.665123,4.454,0.024,0,0,0,0,0,0,9.96,300.150004,317.355021,316.860006,316.995015,314.940013,314.38502,317.490011,309.210012,357.019999,273.479991,274.559998,276.179993,275.24,274.440002,271.699992,1682.537354,34.503201
3625547630,30830,309.185011,0.00444,341.466658,54.810001,90.225006,0.00916,127.745005,8.681584,4.45472,0.02428,0,0,0,0,0,0,9.96,300.130005,317.365017,316.745009,317.00001,314.955017,314.395016,317.46501,309.185011,357.039998,273.513329,274.533332,276.193326,275.173336,274.440002,271.639994,1682.65389,34.770667
3625547635,30835,309.172516,0.00392,341.424993,54.810001,90.225006,0.00928,127.704382,8.655864,4.45432,0.02396,0,0,0,0,0,0,10.26,300.236263,317.311893,316.751263,317.00626,314.945639,314.379397,317.461892,309.172516,357.102496,273.454981,274.512499,276.222491,275.190002,274.427503,271.602496,1682.799561,34.227376
3625547640,30840,309.150014,0.00496,341.419993,54.810001,90.240005,0.00828,127.650007,8.660494,4.45496,0.02452,0,0,0,0,0,0,10.26,300.285014,317.280009,316.815013,316.980011,314.940013,314.38502,317.475016,309.150014,357.139994,273.399984,274.539998,276.23999,275.200002,274.400004,271.639994,1682.712159,33.700802
3625547645,30845,309.105011,0.00596,341.379995,54.830002,90.260005,0.00776,127.640005,8.683128,4.45568,0.02476,0,0,0,0,0,0,10.26,300.310018,317.28501,316.860012,316.93001,314.945014,314.360023,317.46501,309.105011,357.16666,273.373318,274.546665,276.199992,275.193336,274.393338,271.679993,1682.479086,33.834535
3625547650,30850,309.058135,0.00548,341.467491,54.845628,90.219378,0.00792,127.665009,8.652585,4.45672,0.02456,0,0,0,0,0,0,10.26,300.191266,317.281884,316.794383,316.895629,314.93251,314.328763,317.471264,309.058135,357.149994,273.402484,274.529999,276.137494,275.172503,274.422503,271.667493,1682.40625,33.750952
3625547655,30855,309.015004,0.00528,341.479991,54.825002,90.18,0.00904,127.680008,8.669753,4.45672,0.02448,0,0,0,0,0,0,10.26,300.180013,317.310018,316.755005,316.934998,314.955007,314.325012,317.475016,309.015004,357.119995,273.419983,274.539998,276.119995,275.180003,274.440002,271.659994,1682.362549,33.500202
3625547660,30860,309.050001,0.00596,341.493323,54.810001,90.160001,0.0082,127.700007,8.680041,4.45664,0.02424,0,0,0,0,0,0,10.26,300.330014,317.350023,316.745009,316.925001,314.990004,314.370026,317.440019,309.050001,357.086663,273.40665,274.559998,276.146661,275.146671,274.413337,271.653327,1682.508219,33.567069
3625547665,30865,309.056255,0.005,341.584986,54.819377,90.125628,0.00828,127.668757,8.700617,4.45712,0.02444,0,0,0,0,0,0,10.26,300.198765,317.362518,316.741891,316.903135,314.977508,314.360641,317.490013,309.056255,357.132495,273.389984,274.547498,276.167493,275.130005,274.392504,271.644994,1682.744934,33.650652
3625547670,30870,309.045003,0.0054,341.519989,54.810003,90.090004,0.00888,127.635005,8.714506,4.45736,0.02388,0,0,0,0,0,0,10.26,300.150014,317.38502,316.740021,316.935018,314.985006,314.370005,317.520009,309.045003,357.179993,273.399984,274.539998,276.159994,275.140005,274.400004,271.659993,1682.537353,33.901402
3625547675,30875,308.990007,0.0056,341.526655,54.755003,90.035005,0.0092,127.630004,8.675926,4.45848,0.02372,0,0,0,0,0,0,10.26,300.175012,317.360016,316.730021,316.985019,315,314.37501,317.505008,308.990007,357.173326,273.40665,274.533332,276.206658,275.146671,274.40667,271.619995,1682.449951,33.834535
3625547680,30880,309.005637,0.00508,341.634984,54.733127,90.031879,0.00876,127.61438,8.690393,4.45768,0.02428,0,0,0,0,0,0,10.26,300.27189,317.291262,316.764392,316.935006,315,314.325012,317.514384,309.005637,357.114995,273.377485,274.512499,276.23999,275.155004,274.440002,271.644994,1682.559204,34.001701
3625547685,30885,308.985006,0.00488,341.639984,54.735002,90.030004,0.00908,127.575005,8.682099,4.45688,0.02424,0,0,0,0,0,0,10.26,300.330017,317.325022,316.770009,316.934998,314.985006,314.310008,317.505005,308.985006,357.159994,273.339986,274.519999,276.23999,275.200002,274.440002,271.679993,1682.449951,33.901402
3625547690,30890,309.020003,0.0052,341.553321,54.775003,90.020003,0.01,127.585004,8.630658,4.4572,0.02408,0,0,0,0,0,0,10.26,300.370012,317.330024,316.765008,316.945007,314.955017,314.300005,317.515008,309.020003,357.179993,273.313321,274.513333,276.226657,275.193336,274.440002,271.679993,1682.595622,33.834535
3625547695,30895,309.035634,0.00584,341.582486,54.778128,90.026253,0.00944,127.588129,8.574074,4.45776,0.02388,0,0,0,0,0,0,10.04,300.251256,317.336269,316.768134,316.938764,314.964389,314.353139,317.443143,309.035634,357.179993,273.354986,274.529999,276.209992,275.135005,274.440002,271.679993,1682.668457,34.001701
3625547700,30900,309.00001,0.00516,341.659983,54.765003,90.015002,0.00832,127.575005,8.558642,4.45664,0.02396,0,0,0,0,0,0,10.04,300.120005,317.340017,316.770009,316.890004,314.985006,314.38502,317.445018,309.00001,357.199992,273.399984,274.539998,276.219991,275.100006,274.440002,271.659993,1682.712158,34.102001
3625547705,30905,309.050001,0.0054,341.626651,54.775003,90.035005,0.01036,127.575005,8.578189,4.45672,0.02432,0,0,0,0,0,0,10.04,300.085015,317.305016,316.800012,316.875003,315,314.360023,317.46501,309.050001,357.226657,273.393317,274.546665,276.23999,275.100006,274.440002,271.646661,1682.857829,34.302601
3625547710,30910,309.028135,0.0054,341.572487,54.778128,90.031879,0.0108,127.56563,8.582369,4.45768,0.02392,0,0,0,0,0,0,10.04,300.172516,317.31752,316.800003,316.86563,314.981257,314.385017,317.461886,309.028135,357.197492,273.359985,274.542498,276.264989,275.100006,274.440002,271.667493,1682.930664,34.55335
3625547715,30915,309.015015,0.0054,341.519989,54.765003,90.015004,0.01048,127.560005,8.587963,4.45872,0.02416,0,0,0,0,0,0,10.04,300.150014,317.325022,316.815002,316.830007,314.955017,314.415019,317.505005,309.015015,357.159993,273.359985,274.559998,276.279989,275.100006,274.420003,271.639994,1682.886963,34.9044
3625547720,30920,309.015008,0.00612,341.559987,54.755003,89.955002,0.0078,127.575005,8.565844,4.4592,0.0242,0,0,0,0,0,0,10.04,300.225013,317.340027,316.805003,316.910007,314.975009,314.390025,317.555006,309.015008,357.159993,273.359985,274.546665,276.23999,275.126672,274.353339,271.619995,1682.857829,35.038134
3625547725,30925,309.033749,0.0064,341.634984,54.742502,89.945627,0.00728,127.546881,8.588349,4.4592,0.0248,0,0,0,0,0,0,10.04,300.300012,317.349398,316.811259,316.906877,315,314.386897,317.523762,309.033749,357.172493,273.372485,274.529999,276.227491,275.122505,274.357506,271.644994,1682.821411,34.703801
3625547730,30930,309.059998,0.00552,341.699982,54.720002,89.910004,0.00756,127.500008,8.583333,4.45856,0.02464,0,0,0,0,0,0,10.04,300.255005,317.355021,316.890015,316.860006,315,314.325012,317.490011,309.059998,357.099996,273.399984,274.539998,276.199992,275.100006,274.420003,271.699992,1682.624756,33.901402
3625547735,30935,309.050001,0.0068,341.719981,54.685003,89.855006,0.00924,127.485008,8.617284,4.45776,0.02408,0,0,0,0,0,0,10.04,300.315009,317.330024,316.860012,316.875003,314.970005,314.300005,317.485009,309.050001,357.07333,273.419983,274.546665,276.16666,275.120005,274.453335,271.726657,1682.479086,33.834535
3625547740,30940,309.046878,0.00736,341.682482,54.669377,89.814379,0.01076,127.466256,8.599923,4.45784,0.02368,0,0,0,0,0,0,10.04,300.165017,317.308142,316.85063,316.884385,314.923133,314.315634,317.497513,309.046878,357.039998,273.407483,274.529999,276.174993,275.095006,274.482501,271.697492,1682.351623,34.252451
3625547745,30945,309.029999,0.006,341.699982,54.630001,89.760002,0.00988,127.425003,8.563272,4.45808,0.02388,0,0,0,0,0,0,10.04,300.060008,317.310018,316.904999,316.830017,314.940002,314.295003,317.475016,309.029999,357,273.399984,274.519999,276.199992,275.140005,274.5,271.679993,1682.187744,34.503201
3625547750,30950,308.950009,0.005,341.766652,54.630001,89.720004,0.00984,127.425005,8.571502,4.45832,0.02408,0,0,0,0,0,0,10.04,300.150004,317.330024,316.905002,316.880015,314.980008,314.310008,317.460019,308.950009,357.07333,273.393317,274.513333,276.206658,275.133338,274.5,271.679993,1682.129475,34.302601
3625547755,30955,308.96251,0.00464,341.837491,54.639376,89.707504,0.00912,127.471882,8.586612,4.45744,0.02436,0,0,0,0,0,0,9.96,300.225014,317.31752,316.839381,316.961262,314.964389,314.32877,317.478764,308.96251,357.077497,273.359985,274.542498,276.23999,275.100006,274.487501,271.679993,1682.384399,33.675726
3625547760,30960,308.985006,0.0054,341.859996,54.630002,89.700005,0.00904,127.500008,8.594136,4.4572,0.02444,0,0,0,0,0,0,9.96,300.240011,317.325022,316.815002,316.950012,314.970011,314.295013,317.460012,308.985006,357.039998,273.359985,274.579997,276.23999,275.120005,274.460002,271.679993,1682.537354,33.099002
3625547765,30965,308.905019,0.00584,341.846659,54.605003,89.695005,0.01024,127.500006,8.61677,4.45816,0.02428,0,0,0,0,0,0,9.96,300.325005,317.350023,316.78501,316.990014,314.965013,314.270003,317.485009,308.905019,357.053331,273.359985,274.606662,276.226657,275.146671,274.453335,271.679993,1682.712158,33.968268
3625547770,30970,308.898769,0.00608,341.767485,54.639378,89.707504,0.0098,127.443755,8.624807,4.45912,0.02424,0,0,0,0,0,0,9.96,300.253134,317.343769,316.756892,316.983762,314.996258,314.248136,317.516262,308.898769,357.069997,273.372485,274.602496,276.222491,275.117505,274.5075,271.629995,1683.039917,34.427976
3625547775,30975,308.910014,0.00616,341.779989,54.645002,89.700005,0.00916,127.410004,8.632716,4.45808,0.02424,0,0,0,0,0,0,9.96,300.255005,317.325022,316.815013,316.950002,315.015004,314.235016,317.535014,308.910014,357,273.379985,274.619995,276.23999,275.100006,274.539998,271.579997,1683.236572,34.503201
3625547780,30980,308.890008,0.00568,341.713315,54.640002,89.685005,0.00944,127.425005,8.655864,4.45856,0.02468,0,0,0,0,0,0,9.96,300.235002,317.320021,316.780012,316.945007,315.030009,314.265011,317.530016,308.890008,356.960002,273.359985,274.606662,276.23999,275.126672,274.513333,271.646661,1683.14917,34.168868
3625547785,30985,308.921261,0.00592,341.80499,54.661877,89.647504,0.00908,127.462505,8.656829,4.4592,0.02464,0,0,0,0,0,0,9.96,300.163129,317.32314,316.745633,316.920015,315.030015,314.302505,317.542511,308.921261,356.884998,273.347486,274.602496,276.23999,275.160004,274.4925,271.654994,1682.930664,34.252451
3625547790,30990,308.955007,0.0056,341.920003,54.675003,89.580002,0.00988,127.455004,8.66358,4.45848,0.02456,0,0,0,0,0,0,9.96,300.180013,317.340017,316.755015,316.905009,314.955007,314.310008,317.550008,308.955007,356.899994,273.319987,274.619995,276.259989,275.160004,274.440002,271.619995,1682.886963,34.503201
3625547795,30995,308.960005,0.00636,341.953335,54.675002,89.550003,0.00904,127.450004,8.620885,4.45872,0.02472,0,0,0,0,0,0,9.96,300.160017,317.305016,316.800018,316.940013,314.960005,314.315009,317.555006,308.960005,356.946669,273.313321,274.606662,276.273322,275.120005,274.466668,271.659993,1682.857829,34.570067
