Time,Exp_data.T_ms_out,Pane1-T salida caldera HTF - PV,Pane1-T linea S.del Enfria. HTF-S. - PV,Pane1-Caudal Linea circulacion HTF - PV,Pane1-Temperatura en tanque de HTF - PV,Pane1-Presion de aceite termico caldera,Pane1-Presion Entr. y S. tanq.exp. - PV,Exp_data.mdot_ms_in,Exp_data.T_ms_in,Pane1-Temperatura circuito 11 - PV,Exp_data.p_ms_out,Pane1-Temperatura S. tanque S. cali. - PV,Pane1-Caudal calculado (P2WSC10CT008),Pane1-Caudal calculado (P2WSC20CT001),Pane1-Caudal calculado (P4WTA10CT003),ms,dp_ms,dp_oil,TTC1,TTC2,TTC3,TTC4,TTC5,TTC6,TTC7,TTC8,Exp_data.TTH1,Exp_data.TTH2,Exp_data.TTH3,Exp_data.TTH4,Exp_data.TTH5,Exp_data.TTH6,Exp_data.TTH7,Exp_data.Lv_cold_tank,Exp_data.Lv_hot_tank
30600,336.720001,69.900002,102.240006,0.01004,117.285004,6.816358,3.42312,0.00268,307.233348,313.600006,0.01368,349.039988,0,0,0,0,0,0,284.130015,285.030009,283.515004,285.825012,289.50001,288.88502,283.230011,288.630005,349.039988,352.319997,354.259989,350.49999,350.099996,351.579997,353.980001,550.882202,3275.396891
30605,336.713335,69.905001,102.240006,0.01024,117.270004,6.781893,3.42304,0.00276,307.200012,313.600006,0.01364,349.059987,0,0,0,0,0,0,284.145016,285.040002,283.5,285.78501,289.485016,288.900024,283.265021,288.660007,349.059987,352.33334,354.213325,350.439992,350.100006,351.613339,354,550.882202,3275.463732
30610,336.767499,69.93,102.21188,0.00928,117.279379,6.771605,3.42448,0.00212,307.179178,313.600006,0.01324,349.084986,0,0,0,0,0,0,284.173133,285.061883,283.5,285.772507,289.494387,288.881269,283.252518,288.669383,349.084986,352.375005,354.092496,350.439992,350.075001,351.605,353.962502,550.827576,3275.045929
30615,336.74,69.93,102.165003,0.00908,117.285004,6.762346,3.42472,0.00204,307.133341,313.600006,0.01324,349.019989,0,0,0,0,0,0,284.220001,285.060008,283.5,285.780009,289.50001,288.870015,283.26002,288.660004,349.019989,352.420003,354.179993,350.359995,350.039988,351.539988,353.900004,550.7948,3274.995768
30620,336.733334,69.900002,102.140002,0.0104,117.270004,6.77109,3.42448,0.00176,307.100006,313.600006,0.01312,348.973324,0,0,0,0,0,0,284.180006,285.040002,283.5,285.825009,289.495012,288.880018,283.255018,288.710005,348.973324,352.42667,354.126662,350.379995,350.07999,351.533325,353.893338,550.823934,3275.731147
30625,336.787498,69.843754,102.118128,0.00992,117.26063,6.788773,3.42488,0.0022,307.079172,313.558337,0.01304,349.00249,0,0,0,0,0,0,284.223759,285.052505,283.518756,285.843754,289.498136,288.873767,283.24876,288.688132,349.00249,352.435003,354.122495,350.454992,350.142504,351.575001,353.935003,550.751099,3276.149068
30630,336.819997,69.810005,102.090004,0.0096,117.255005,6.782407,3.4236,0.002,307.033335,313.5,0.01368,349.019989,0,0,0,0,0,0,284.205007,285.045003,283.545013,285.855011,289.50001,288.900024,283.275014,288.675008,349.019989,352.440002,354.23999,350.519989,350.180003,351.539988,353.980001,550.7948,3276.399821
30635,336.793332,69.785005,102.050006,0.01052,117.250005,6.773662,3.42272,0.00332,307,313.5,0.01344,348.979991,0,0,0,0,0,0,284.18001,285.050005,283.545013,285.910017,289.51,288.890021,283.255018,288.695018,348.979991,352.380005,354.299988,350.539988,350.15333,351.553318,353.960002,550.823934,3276.065484
30640,336.822497,69.772503,102.037506,0.01052,117.225006,6.776234,3.42336,0.00384,307,313.458331,0.01364,348.929993,0,0,0,0,0,0,284.120642,285.08439,283.526258,285.847511,289.485007,288.877518,283.239389,288.691889,348.929993,352.380005,354.24999,350.514989,350.107497,351.582498,353.935003,550.805725,3275.647613
30645,336.819997,69.780004,102.015004,0.00964,117.225006,6.780864,3.42344,0.00316,307,313.399994,0.01364,348.939992,0,0,0,0,0,0,284.145009,285.105021,283.485006,285.810008,289.50001,288.88502,283.245015,288.675008,348.939992,352.360006,354.23999,350.479991,350.180003,351.600006,353.920003,550.969604,3274.995768
30650,336.846663,69.775003,101.990004,0.00948,117.225006,6.772634,3.42352,0.00364,307,313.399994,0.01392,348.919993,0,0,0,0,0,0,284.190006,285.140018,283.425015,285.810001,289.510006,288.900024,283.240014,288.690006,348.919993,352.320001,354.266656,350.393327,350.139991,351.533329,353.886671,551.086141,3274.527778
30655,336.942492,69.759376,101.996255,0.01096,117.206255,6.799961,3.42432,0.00352,307,313.358337,0.01356,348.832497,0,0,0,0,0,0,284.152512,285.136888,283.425011,285.781878,289.503759,288.890647,283.252518,288.671261,348.832497,352.344997,354.162493,350.434993,350.077489,351.462481,353.932503,551.122559,3274.945648
30660,336.979991,69.750003,101.970001,0.0118,117.180005,6.824074,3.4248,0.0024,307,313.300018,0.01336,348.779999,0,0,0,0,0,0,284.175008,285.075012,283.485006,285.795003,289.529999,288.88502,283.26002,288.720011,348.779999,352.380005,354.159993,350.379995,350.099996,351.49998,353.880005,551.144409,3275.196371
30665,337.006656,69.685003,101.980002,0.0096,117.170007,6.793724,3.42512,0.00204,307,313.277795,0.01368,348.779999,0,0,0,0,0,0,284.190006,285.010006,283.490004,285.795007,289.510006,288.890021,283.245015,288.745015,348.779999,352.34,354.119995,350.393327,349.973314,351.539985,353.920003,550.94047,3275.12953
30670,336.977491,69.678753,101.973753,0.00876,117.166881,6.774113,3.4248,0.00224,307,313.229181,0.01396,348.755,0,0,0,0,0,0,284.171261,284.994387,283.48688,285.785627,289.494387,288.886889,283.216882,288.748137,348.755,352.264988,354.132495,350.49749,349.927489,351.552493,353.945002,550.904053,3275.171306
30675,336.959992,69.705002,101.925003,0.00912,117.180008,6.794753,3.42328,0.00216,307,313.200012,0.01412,348.700002,0,0,0,0,0,0,284.205007,284.985006,283.5,285.795003,289.50001,288.900014,283.245015,288.810008,348.700002,352.219981,354.139994,350.49999,349.979991,351.539988,353.880005,550.619995,3274.99585
